sample_id,source,geo_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,required_support_pressure_MPa,required_case_id,label_status
stage2_g01,stage2,g01,1132.87,0.852208,3.45733,25.1488,1.36007,1.26589,34.5254,0.537036,1.7,s2_g01_p05,labeled
stage2_g02,stage2,g02,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,>2.6,s2_g02_p08,exceedance_gt_2.6MPa_uncontrolled
stage2_g03,stage2,g03,970.429,0.810822,3.35793,21.2503,0.72795,1.03067,32.9622,0.620624,1.4,s2_g03_p04,labeled
stage2_g04,stage2,g04,813.245,1.17545,4.38039,17.4779,1.01777,1.3409,28.9142,1.08996,0.5,s2_g04_p01,labeled
stage2_g05,stage2,g05,1010.44,0.90744,5.34951,22.2105,1.22137,0.60916,35.6424,0.760765,2.3,s2_g05_p07,labeled
stage2_g06,stage2,g06,1047.85,1.0677,4.58765,23.1085,0.794694,0.74213,30.1717,1.22538,2,s2_g06_p06,labeled
stage2_g07,stage2,g07,1039.59,1.32627,3.26453,22.9102,0.904416,0.862624,39.0701,1.13211,0.5,s2_g07_p01,labeled
stage2_g08,stage2,g08,944.347,1.00632,4.3246,20.6243,0.985773,0.703481,28.2107,0.588466,1.4,s2_g08_p04,labeled
stage2_g09,stage2,g09,926.351,0.973054,3.62756,20.1924,0.865052,1.20112,36.338,1.16017,0.5,s2_g09_p01,labeled
stage2_g10,stage2,g10,1194.37,1.39118,5.19556,26.625,0.685729,0.948215,37.5038,0.73908,1.7,s2_g10_p05,labeled
stage2_g11,stage2,g11,1066.57,1.406,5.7488,23.5577,0.807871,1.13671,35.4538,0.969579,0.5,s2_g11_p01,labeled
stage2_g12,stage2,g12,982.834,1.46282,4.12736,21.548,1.2624,1.11281,37.8821,0.825097,0.5,s2_g12_p01,labeled
stage2_g13,stage2,g13,913.703,0.878782,4.72666,19.8889,1.29921,1.36818,31.1635,1.00076,0.5,s2_g13_p01,labeled
stage2_g14,stage2,g14,889.333,1.2134,5.44252,19.304,0.620336,0.773707,26.0371,1.28032,1.1,s2_g14_p03,labeled
stage2_g15,stage2,g15,858.297,1.1248,5.86255,18.5591,1.33122,1.29302,25.1698,0.540291,0.5,s2_g15_p01,labeled
stage2_g16,stage2,g16,1102.21,1.28913,5.5881,24.4131,1.09676,1.19736,30.417,1.05915,1.1,s2_g16_p03,labeled
stage2_g17,stage2,g17,1143.64,1.24902,3.03142,25.4074,0.663326,0.981498,31.7914,0.795903,1.1,s2_g17_p03,labeled
stage2_g18,stage2,g18,876.737,1.47922,4.90427,19.0017,0.922319,1.04529,39.9527,1.19199,0.5,s2_g18_p01,labeled
stage2_g19,stage2,g19,1099.39,1.31801,3.79175,24.3455,1.05061,0.836038,33.5497,0.893968,1.1,s2_g19_p03,labeled
stage2_g20,stage2,g20,838.532,1.0149,5.07634,18.0848,1.13572,0.897482,27.6612,0.673129,0.8,s2_g20_p02,labeled
stage3_g001,stage3,g001,1173.14,1.46117,4.98381,26.1155,1.39401,0.893405,29.308,1.01254,2.6,s3_g001_p08,labeled
