case_sample_id,source,case_id,geo_id,pressure_level_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,support_pressure_MPa,P_s,dat_file,max_settlement_m,max_heave_m,peak_abutment_stress_MPa,support_pressure_MPa_from_summary,q_top_MPa_from_summary,summary_file,status,qc_flag,meets_control,design_note
stage2_s2_g01_p01,stage2,s2_g01_p01,g01,p01,1132.87,0.852208,3.45733,25.1488,1.36007,1.26589,34.5254,0.537036,0.5,2e+08,s2_g01_p01.dat,59.23811,0.3990173,73.12595,0.5,25.1488,工况\flac3d_support_search_cases\summary_s2_g01_p01.tab,done,settlement_gt_2m,0,
stage2_s2_g01_p02,stage2,s2_g01_p02,g01,p02,1132.87,0.852208,3.45733,25.1488,1.36007,1.26589,34.5254,0.537036,0.8,3.2e+08,s2_g01_p02.dat,54.13848,0.3298954,72.98261,0.8,25.1488,工况\flac3d_support_search_cases\summary_s2_g01_p02.tab,done,settlement_gt_2m,0,
stage2_s2_g01_p03,stage2,s2_g01_p03,g01,p03,1132.87,0.852208,3.45733,25.1488,1.36007,1.26589,34.5254,0.537036,1.1,4.4e+08,s2_g01_p03.dat,45.67564,0.3292621,72.52145,1.1,25.1488,工况\flac3d_support_search_cases\summary_s2_g01_p03.tab,done,settlement_gt_2m,0,
stage2_s2_g01_p04,stage2,s2_g01_p04,g01,p04,1132.87,0.852208,3.45733,25.1488,1.36007,1.26589,34.5254,0.537036,1.4,5.6e+08,s2_g01_p04.dat,35.16648,0.3467537,73.23257,1.4,25.1488,工况\flac3d_support_search_cases\summary_s2_g01_p04.tab,done,settlement_gt_2m,0,
stage2_s2_g01_p05,stage2,s2_g01_p05,g01,p05,1132.87,0.852208,3.45733,25.1488,1.36007,1.26589,34.5254,0.537036,1.7,6.8e+08,s2_g01_p05.dat,1.021761,0.2901679,75.77425,1.7,25.1488,工况\flac3d_support_search_cases\summary_s2_g01_p05.tab,done,ok,1,
stage2_s2_g02_p01,stage2,s2_g02_p01,g02,p01,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,0.5,2e+08,s2_g02_p01.dat,177.0634,14.73694,67.61693,0.5,26.0201,工况\flac3d_support_search_cases\summary_s2_g02_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g02_p02,stage2,s2_g02_p02,g02,p02,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,0.8,3.2e+08,s2_g02_p02.dat,137.3863,11.21889,66.63851,0.8,26.0201,工况\flac3d_support_search_cases\summary_s2_g02_p02.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g02_p03,stage2,s2_g02_p03,g02,p03,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,1.1,4.4e+08,s2_g02_p03.dat,95.68864,7.474414,69.01669,1.1,26.0201,工况\flac3d_support_search_cases\summary_s2_g02_p03.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g02_p04,stage2,s2_g02_p04,g02,p04,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,1.4,5.6e+08,s2_g02_p04.dat,55.61578,9.759998,71.75928,1.4,26.0201,工况\flac3d_support_search_cases\summary_s2_g02_p04.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g02_p05,stage2,s2_g02_p05,g02,p05,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,1.7,6.8e+08,s2_g02_p05.dat,44.37322,8.159616,71.99162,1.7,26.0201,工况\flac3d_support_search_cases\summary_s2_g02_p05.tab,done,settlement_gt_2m;heave_gt_2m,0,
